"Date","Price"
"26-06-2018",670.5
"27-06-2018",639.9
"28-06-2018",600.3
"29-06-2018",549
"01-07-2018",409.5
"03-07-2018",625.5
"04-07-2018",637.2
"05-07-2018",622.8
"08-07-2018",491.4
"09-07-2018",652.5
"10-07-2018",629.1
"11-07-2018",607.5
"12-07-2018",652.5
"13-07-2018",621.9
"14-07-2018",641.7
"15-07-2018",558.9
"16-07-2018",629.1
"17-07-2018",612.9
"18-07-2018",618.3
"19-07-2018",588.6
"20-07-2018",549
"21-07-2018",558
"22-07-2018",450.9
"23-07-2018",544.5
"24-07-2018",527.4
"25-07-2018",527.4
"26-07-2018",527.4
"27-07-2018",477
"28-07-2018",522
"29-07-2018",400.5
"30-07-2018",458.1
"31-07-2018",489.6
"01-08-2018",461.55
"02-08-2018",461.55
"03-08-2018",422.45
"04-08-2018",478.55
"05-08-2018",402.05
"06-08-2018",416.5
"07-08-2018",438.6
"08-08-2018",441.15
"09-08-2018",421.6
"10-08-2018",424.15
"11-08-2018",476.85
"12-08-2018",398.65
"13-08-2018",415.65
"14-08-2018",436.05
"15-08-2018",433.5
"16-08-2018",433.5
"17-08-2018",407.15
"18-08-2018",459
"19-08-2018",398.65
"20-08-2018",424.15
"21-08-2018",453.9
"22-08-2018",451.35
"23-08-2018",424.15
"24-08-2018",407.15
"25-08-2018",449.65
"26-08-2018",398.65
"27-08-2018",407.15
"28-08-2018",418.2
"29-08-2018",454.75
"30-08-2018",430.95
"31-08-2018",415.65
"01-09-2018",452.7
"02-09-2018",422.1
"03-09-2018",458.1
"04-09-2018",517.5
"05-09-2018",467.1
"06-09-2018",457.2
"07-09-2018",432.9
"08-09-2018",509.4
"09-09-2018",435.6
"10-09-2018",492.3
"11-09-2018",523.8
"12-09-2018",594.9
"13-09-2018",520.2
"14-09-2018",508.5
"15-09-2018",469.8
"16-09-2018",422.1
"17-09-2018",489.6
"18-09-2018",585.9
"19-09-2018",500.4
"20-09-2018",494.1
"21-09-2018",450.9
"22-09-2018",498.6
"23-09-2018",422.1
"24-09-2018",494.1
"25-09-2018",560.7
"26-09-2018",530.1
"27-09-2018",503.1
"28-09-2018",467.1
"29-09-2018",505.8
"30-09-2018",422.1
"01-10-2018",476.1
"02-10-2018",530.1
"03-10-2018",530.1
"04-10-2018",494.1
"05-10-2018",440.1
"06-10-2018",481.5
"07-10-2018",386.1
"08-10-2018",494.1
"09-10-2018",530.1
"10-10-2018",530.1
"11-10-2018",494.1
"12-10-2018",459
"13-10-2018",522
"14-10-2018",431.1
"15-10-2018",494.1
"16-10-2018",530.1
"17-10-2018",540
"18-10-2018",494.1
"19-10-2018",404.1
"20-10-2018",440.1
"21-10-2018",404.1
"22-10-2018",494.1
"23-10-2018",530.1
"24-10-2018",530.1
"25-10-2018",494.1
"26-10-2018",422.1
"27-10-2018",440.1
"28-10-2018",422.1
"29-10-2018",494.1
"30-10-2018",530.1
"31-10-2018",530.1
"01-11-2018",494.1
"02-11-2018",404.1
"03-11-2018",440.1
"04-11-2018",404.1
"05-11-2018",494.1
"06-11-2018",530.1
"07-11-2018",530.1
"08-11-2018",494.1
"09-11-2018",460.8
"10-11-2018",498.6
"11-11-2018",404.1
"12-11-2018",494.1
"13-11-2018",530.1
"14-11-2018",530.1
"15-11-2018",494.1
"16-11-2018",404.1
"17-11-2018",440.1
"18-11-2018",404.1
"19-11-2018",494.1
"20-11-2018",530.1
"21-11-2018",530.1
"22-11-2018",494.1
"23-11-2018",404.1
"24-11-2018",440.1
"25-11-2018",404.1
"26-11-2018",494.1
"27-11-2018",530.1
